Vehicle_Type,Tested_Transmission_Type,Transmission_Lockup_,Police___Emergency_Vehicle_,newtransmission,Test_Veh_Displacement__L_,Rated_Horsepower,__of_Gears,Equivalent_Test_Weight__lbs__,Axle_Ratio,N_V_Ratio,Three_cat,THC_bin,CO_bin,CO2_cat,NOx_cat,MPG,Rownum
Car,Manual,N,N,Manual,5.9,470,6,4500,3.54,34.9,Low,Low,Low,High,High,13.8,1
Car,Manual,N,N,Manual,5.9,470,6,4500,3.54,34.9,Low,Low,Low,Medium,Medium,23.7,2
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,470,6,4500,3.15,28.6,Low,High,High,High,High,16.1,3
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,470,6,4500,3.15,28.6,Low,Low,Low,Medium,Medium,27.2,4
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,510,6,4500,3.46,31.2,Low,High,High,High,High,14.4,5
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,510,6,4500,3.46,31.2,Low,Low,Low,Medium,Medium,24.7,6
Car,Manual,N,N,Manual,5.9,510,6,4500,3.7,35.9,Low,High,Low,High,High,13.7,7
Car,Manual,N,N,Manual,5.9,510,6,4500,3.7,35.9,Low,Low,Low,High,High,22.9,8
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,470,6,4750,3.46,28.7,Low,High,Low,High,High,15.6,9
Car,Semi-Automatic,Y,N,Semi-Automatic,5.9,470,6,4750,3.46,28.7,Low,Low,Low,Medium,Medium,26.6,10
Car,Manual,N,N,Manual,4.7,420,6,4000,3.91,38.6,Low,High,High,High,High,15,11
Car,Manual,N,N,Manual,4.7,420,6,4000,3.91,38.6,Low,Low,Low,Medium,Medium,25.6,12
Car,Automated Manual,Y,N,,4.7,420,6,4000,3.91,38.6,Low,High,High,High,Medium,17,13
Car,Automated Manual,Y,N,,4.7,420,6,4000,3.91,38.6,Low,Low,High,Medium,,28,14
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,High,High,Medium,High,24,15
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Medium,Low,High,Low,High,38.2,16
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,Low,High,High,Medium,20.7,17
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,Low,High,Medium,Medium,26.6,18
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,Low,High,Medium,Medium,26.6,19
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,Low,High,Medium,Medium,28.4,20
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,High,High,Medium,High,23.3,21
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,Low,High,High,Medium,20.5,22
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,Low,High,Medium,Medium,25.3,23
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Medium,Low,Low,Low,Low,40.3,24
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,Medium,High,29,25
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,High,Medium,21.2,26
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,High,High,High,High,23.2,27
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,Medium,Medium,25.6,28
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Medium,Low,Low,Low,Low,40.7,29
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,Low,High,Medium,High,29.1,30
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,Low,High,High,Medium,21.1,31
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,High,High,High,High,22.8,32
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,Low,High,Medium,Medium,25.7,33
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Medium,Low,Low,Low,Low,40.9,34
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,Low,Low,High,Medium,22.2,35
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,High,High,Medium,High,23.8,36
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,Low,High,Medium,Medium,26,37
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Low,High,High,Medium,High,27.8,38
Car,Automatic,Y,N,Automatic,1.984,200,6,3750,4.06,40.7,Medium,Low,Low,Low,Low,40,39
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,Low,High,Medium,High,25.2,40
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,High,High,High,High,23,41
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,Low,High,High,Medium,20.9,42
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Low,High,High,Medium,High,28,43
Car,Manual,N,N,Manual,1.984,200,6,3625,3.94,40.4,Medium,Low,Low,Low,Medium,41.4,44
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,Medium,High,26.4,45
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,High,High,21.4,46
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,Low,High,Medium,High,28.8,47
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Low,High,High,Medium,High,23.6,48
Car,Manual,N,N,Manual,1.984,200,6,3500,3.09,40.4,Medium,Low,Low,Low,Medium,42,49
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,High,High,Medium,Medium,26.4,50
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Medium,Low,Low,Low,Low,41.5,51
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,Low,High,High,Medium,21.5,52
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,Low,High,Medium,High,29.3,53
Car,Manual,N,N,Manual,1.984,200,6,3375,3.09,40.4,Low,High,High,Medium,High,23.4,54
Car,Automatic,Y,N,Automatic,1.984,200,6,3875,4.06,40.6,Medium,Low,Low,Low,Low,37.1,55
Car,Automatic,Y,N,Automatic,1.984,200,6,3875,4.06,40.6,Low,Low,High,Medium,High,26.8,56
Car,Automatic,Y,N,Automatic,1.984,200,6,3875,4.06,40.6,Low,High,High,Medium,High,23.4,57
Car,Automatic,Y,N,Automatic,1.984,200,6,3875,4.06,40.6,Low,Low,High,High,Medium,22.4,58
Car,Automatic,Y,N,Automatic,1.984,200,6,3875,4.06,40.6,Low,High,High,Medium,Medium,27.2,59
Car,Continuously Var,N,N,,1.984,211,1,3875,3.09,26.1,Low,High,High,Medium,Medium,29.3,60
Car,Continuously Var,N,N,,1.984,211,1,3875,3.09,26.1,Medium,Low,Low,Low,Medium,42.9,61
Car,Continuously Var,N,N,,1.984,211,1,4250,3.09,26.1,Low,High,High,Medium,High,29,62
Car,Continuously Var,N,N,,1.984,211,1,4250,3.09,26.1,Medium,Low,Low,Low,Medium,42.3,63
Car,Automatic,Y,N,Automatic,1.984,211,6,4250,3.09,33.1,Medium,Low,Low,Low,Medium,37.3,64
Car,Automatic,Y,N,Automatic,1.984,211,6,4250,3.09,33.1,Low,High,High,Medium,High,24.8,65
Car,Automatic,Y,N,Automatic,1.984,211,6,4000,3.09,33.1,Low,High,High,Medium,High,26.2,66
Car,Automatic,Y,N,Automatic,1.984,211,6,4000,3.09,33.1,Medium,Low,Low,Low,Medium,37.9,67
Car,Manual,N,N,Manual,1.984,211,6,4000,3.46,34.8,Low,High,High,Medium,High,27.6,68
Car,Manual,N,N,Manual,1.984,211,6,4000,3.46,34.8,Medium,Low,Low,Low,Medium,42.1,69
Car,Manual,N,N,Manual,1.984,211,6,3875,3.46,34.8,Low,Low,High,Medium,Medium,27.7,70
Car,Manual,N,N,Manual,1.984,211,6,3875,3.46,34.8,Medium,Low,Low,Low,Low,43.3,71
Car,Automatic,Y,N,Automatic,1.984,211,6,4500,3.09,33.1,Low,High,High,Medium,Medium,25.9,72
Car,Automatic,Y,N,Automatic,1.984,211,6,4500,3.09,33.1,Medium,Low,Low,Low,Low,37,73
Bot,Automatic,Y,N,Automatic,3.179,265,6,4000,3.52,33,Low,High,High,High,High,19.2,74
